Original Transcription,New transcription,Detected Intent,New Intent
Open account statement.,Open account statement.,download_statement,download_statement
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
ٹیوارس کین کرنا ہے,کیوار سکین کرنا ہے۔,unknown,unknown
Send one rupee to Syed Aun Raza Rizvi.,Send one rupee to Syed Aun Raza Rizvi.,send_money,send_money
تم اس سے مانگے۔,جس سے مانگے وہ۔,unknown,unknown
یہ کس لیے بنایا گیا ہے؟ مجھے سمجھ نہیں آرہی ہے اس چیز کی جو وائس انہوں نے اے آئی دے دی ہے۔,یہ کس لیے بنایا گیا ہے مجھے سمجھ نہیں آرہی۔,unknown,unknown
"If there is no speech in the audio, return empty text.",Please transfer 5000 rupees to Ali's account.,mobile_topup,send_money
مسنون,بس نین,unknown,unknown
اسنیں۔,اسنین,unknown,unknown
Send 2000 rupees to Rayan Ahmed.,Send 2000 rupees to Rayaan Ahmed.,send_money,send_money
Send 2000 rupees to Ryan Ahmed.,Send 2000 rupees to Rayaan Ahmed.,send_money,send_money
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",حسنین کو پانچ ہزار روپے بھیجیں۔,pay_bill,send_money
Go to bank transaction.,Go to bank transaction.,download_statement,download_statement
Go to bank transaction.,Go to bank transaction.,download_statement,download_statement
سینٹو محمد اسف ایزی پیسہ,Send to Muhammad Asif EasyPaisa.,send_money,send_money
Send 5000 to Muhammad Noman.,Send 5000 to Muhammad Noman.,send_money,send_money
اگر آڈیو میں کوئی تقریر نہیں ہے تو خالی متن واپس کریں۔ اہم: آڈیو میں اردو یا انگریزی تقریر ہو سکتی ہے۔ مذکورہ نام عام طور پر پاکستانی نام ہیں۔ آڈیو میں پاکستانی ناموں کو صحیح طریقے سے نقل کریں۔ آڈیو ایک مالیاتی حکم ہے رقم بھیجنے/منتقل کرنے کے لیے۔ احکامات میں شامل ہو سکتے ہیں: رقم کی منتقلی، بل کی ادائیگی، موبائل ٹاپ اپس، یا بیان کی درخواست۔ نمبر اور مقداریں کسی بھی زبان میں بولی جا سکتی ہیں — ہمیشہ انہیں عددی اعداد میں تبدیل کریں۔ مذکورہ نام عام طور پر پاکستانی نام ہیں۔ فائدہ اٹھانے والے کے نام اور بینک کے نام کو صحیح طریقے سے پکڑنے پر توجہ دیں۔ فلر الفاظ کو نظر انداز کریں۔,Please transfer 5000 rupees to Ali's account.,send_money,send_money
Send Adil Ahmed 2880 rupees.,Send عدیل احمد 2880 روپے.,send_money,send_money
عظیم احمد کو اٹھائیس سو اسی روپے بھیج دو۔,عدیل احمد کو اٹھائیس سو اسی روپے بھیج دو۔,send_money,send_money
ون روپیس سینڈ ٹو سائرہ سنائین اکبر ایزی پیسہ بینک اکاؤنٹ,One rupee sent to Syed Asnan Akbar EasyPaisa bank account.,send_money,send_money
ون روپیس سینٹوس سیدس نینت پر,One rupee sent to Syed Asnan Akbar.,send_money,send_money
کرنٹ ٹرانسفر آٹھ ہزار درہم تو مہربینٹنگ پریس,Kindly transfer 8000 dirham to Mehar Printing Press.,send_money,send_money
چالیس سو دارالحکمہ کو سینڈ کرو.,پینتالیس سو دانیال کم کو سینڈ کرو.,send_money,send_money
"If there is no speech in the audio, return empty text.",,mobile_topup,
How to activate my new Visa debit card?,How to activate my new visa debit card?,unknown,unknown
میرا بینک اکاؤنٹ نمبر,میرا بینک اکاؤنٹ نمبر.,unknown,unknown
Send one rupee to Muhammad Hamza.,Hey send 1 rupee to Muhammad Hamza NayaPay.,send_money,send_money
میرے تین مہینے کی سٹیٹمنٹ فٹا فٹ سے ڈاؤنلوڈ کرکے میرے واٹس ایپ پر سینڈ کرو بوسڑی والو۔,میری تین مہینے کی سٹیٹمنٹ فڑا فڑ سے ڈاؤنلوڈ کرکے میرے واٹس ایپ پر سینڈ کرو.,download_statement,download_statement
یونیفورم,Uniform.,unknown,unknown
Transfer money to Iqbal.,Transfer money to Iqbal.,send_money,send_money
I want to transfer money.,I want to transfer money.,send_money,send_money
اکاؤنٹ ایویلیبل بیلنس,Account available balance.,pay_bill,unknown
Complete account number with IBAN.,Complete account number with IBAN.,download_statement,unknown
Complete account number.,Complete account number.,unknown,unknown
Hello,Hello,unknown,unknown
Available balance,Account available balance.,mobile_topup,unknown
پشاور بیٹری,پشاور بھیج دیں.,unknown,send_money
اکاؤنٹ اسٹیٹمنٹ,اکاؤنٹ سٹیٹمنٹ,download_statement,download_statement
ایکاؤنٹ اسٹیٹمنٹ,Account statement.,download_statement,download_statement
سکرین شاٹ,سکرین شاٹ,unknown,unknown
Send 220 rupees to Masood Ahmed.,Send 220 rupees to Masood Ahmed.,send_money,send_money
"Hey AI, can you send the amount 20,000 rupees on?","Hey AI, can you send the amount 20,000 rupees?",send_money,send_money
"Send money to Muhammad Khizar, 8000 rupees.",Send money to Muhammad Khizar 8000 rupees.,send_money,send_money
"If there is no speech in the audio, return empty text.",Please transfer 5000 rupees to Ali's account.,mobile_topup,send_money
اوپن نیو پے,Open new pay,unknown,unknown
Send fifteen thousand to Sheikh Muhammad.,Send 15000 to Sheikh Muhammad Naeem Meezan Bank.,send_money,send_money
Drive Zone UBL,Drive zone UBL.,unknown,unknown
پیر تو عبداللہ,Pay to Abdullah.,unknown,send_money
یو بی ایل کریڈٹ کارڈ,UBL کریڈٹ کارڈ.,unknown,unknown
پے مائی یو بی ایل کریڈٹ کارڈ بل,Pay my UBL credit card bill.,pay_bill,pay_bill
Pay my UBL credit card bill.,Pay my UBL credit card bill.,pay_bill,pay_bill
بیس ہزار سینڈ کر دے۔,بیس ہزار بھیج دیں۔,send_money,send_money
Transfer 15500 to Muhammad Bilal from Muhammad Rizwan.,Transfer 15500 to Muhammad Bilal from Muhammad Rizwan.,send_money,send_money
کاشف محمد بلال، 15500، فرام محمد رضوان اکاؤنٹ,"Transfer Muhammad Bilal 15,500 from Muhammad Rizwan account.",download_statement,send_money
Transfer from Muhammad Rizwan account to Muhammad Bilal Bank Al Habib account 15500.,Transfer from Muhammad Rizwan account to Muhammad Bilal Bank Al Habib account 15500.,send_money,send_money
ٹرانسفر محمد بلال پندرہ ہزار پانچ سو۔,"Transfer Muhammad Bilal 15,500.",send_money,send_money
محمد وقار کو بہتر ہزار پے کر دو,محمد وقار کو بہتر ہزار روپے کر دو۔,send_money,send_money
محمد وقار کو سترہ ہزار کر دو۔,"محمد وقار کو 72,000 کر دو.",send_money,send_money
Hello. Hello. Hi.,Hello.,unknown,unknown
جاز کیش، موبی کیش,JazzCash MobiCash,unknown,unknown
محمد عبد اللہ,محمد عطا اللہ,unknown,unknown
مانس دو سو چھاسی روپے کس چیز کے ہیں؟,یہ 1286 روپے کس چیز کے ہیں؟,unknown,unknown
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",پانچ ہزار روپے بھیج دیں.,pay_bill,send_money
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",بجلی کا بل ادا کریں.,pay_bill,pay_bill
Turn,Please transfer 5000 rupees to Ali's account.,unknown,send_money
Send one thousand to Mahmood Abbasi.,Send 1000 to Mehmooda Abbasi.,send_money,send_money
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
Send one thousand to Mahmooda Basi.,Send 1000 to Mehmood Abbasi.,send_money,send_money
"Hello, send one thousand to Mahmood Abbasi.",Hello send 1000 to Mehmood Abbasi.,send_money,send_money
سارا دا ٹرانسفر ٹو محمد وقاص,ساڑھے ہزار ٹرانسفر محمد وقاص.,send_money,send_money
statement,Statement,download_statement,download_statement
Send money to Kamarunnisa.,Send money to Kamran Nisa.,send_money,send_money
Send money to Kamran Nisa.,Send money to Kamran Nisa.,send_money,send_money
Send money to Muhammad Ibrahim.,Send money to Muhammad Ibrahim.,send_money,send_money
یوٹیلیٹی بل پیڈ,Utility bill paid.,pay_bill,pay_bill
خلیل الرحمن اکاؤنٹ نہیں ہے، ہو شو نہیں ہو رہا ہے۔,خلیل الرحمن اکاؤنٹ نہیں ہے۔,unknown,unknown
یو بی ایل میں ٹیب کر سکتے ہیں؟,یو بی ایل میں ٹیب کر سکتے ہیں?,unknown,unknown
Check my balance,Check my balance.,unknown,unknown
اگر آڈیو میں کوئی تقریر نہیں ہے تو خالی متن واپس کریں۔ اہم: آڈیو میں اردو یا انگریزی تقریر ہو سکتی ہے۔ مذکورہ نام عام طور پر پاکستانی نام ہیں۔ آڈیو میں پاکستانی ناموں کو صحیح طریقے سے نقل کریں۔ آڈیو ایک مالیاتی حکم ہے رقم بھیجنے/منتقل کرنے کے لیے۔ احکامات میں شامل ہو سکتے ہیں: رقم کی منتقلی، بل کی ادائیگی، موبائل ٹاپ اپس، یا بیان کی درخواست۔ نمبر اور مقداریں کسی بھی زبان میں بولی جا سکتی ہیں — ہمیشہ انہیں عددی اعداد میں تبدیل کریں۔ مذکورہ نام عام طور پر پاکستانی نام ہیں۔ فائدہ اٹھانے والے کے نام اور بینک کے نام کو صحیح طریقے سے پکڑنے پر توجہ دیں۔ فلر الفاظ کو نظر انداز کریں۔,پانچ ہزار روپے.,send_money,unknown
"If there is no speech in the audio, return empty text.",Please transfer 5000 rupees to Ali's account.,mobile_topup,send_money
"If there is no speech in the audio, return empty text.",Please send five thousand rupees to Ali.,mobile_topup,send_money
پے ٹوئنٹی فائیو ففٹی ٹو اماما سے زیادہ,Pay 2550 to Ammama Sajjad.,send_money,send_money
I have to pay Shiraz Ahmed 2800.,I have to pay Shiraz Ahmed 2800.,send_money,send_money
ہلو، ہاؤ کین آئی یوز مائی ٹیپ پے اور مائی آئی فون,"Hello, how can I use my TapPay on my iPhone?",download_statement,unknown
پیمینٹ ٹرانسفر ٹو محمد صاحب,Payment transfer to محمدی صاحب.,send_money,send_money
محمد طلحہ ایزی پیسہ کو پچاس روپے ٹرانسفر کرو۔,محمد طلحہ ایزی پیسہ کو 50 روپیہ ٹرانسفر کرو.,send_money,send_money
پیمٹ ٹرانسفر ٹو محمد اسحاق,Payment transfer to Muhammad Ishaq.,send_money,send_money
پیمٹ ٹرانسفرز محمد اسحاق,Payment transfer Muhammad Ishaq.,send_money,send_money
Hello,Hello,unknown,unknown
دشانت ٹریڈر,ذیشان ٹریڈر.,unknown,unknown
سن ون لاکھ تو علی حسن میزان بینک,Send 1 lakh to Ali Hassan Meezan Bank.,send_money,send_money
سن ون لاکھ تو حلیہ حسن میزان,Send one lakh to Haliya Hassan Meezan.,send_money,send_money
"Hello, how are you?","Hello, how are you?",unknown,unknown
شینڈ ٹوئنٹی ایٹ تھاؤزن ٹو محمد انیس,Send 28000 to Muhammad Anas.,send_money,send_money
یو پی ایل شو بیلنس,UBL show balance.,mobile_topup,unknown
Quick Pay,QuickPay,pay_bill,unknown
QuickPay,QuickPay,unknown,unknown
پیسے بھیجنے۔,Ali Raza,send_money,unknown
"money transfers, bill payments, mobile top-ups, or statement requests.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
Please check my balance.,Please check my balance.,unknown,unknown
میری ٹرانزیکشن کتنی ہوئی ہیں اس مہینے؟,میری ٹرانزیکشن کتنی ہوئی ہے اس مہینے میں؟,unknown,download_statement
اوپن اپ ای اکاؤنٹ علی حسن,Open اپی اکاؤنٹ علی حسن.,download_statement,unknown
پیسہ بھیجنا۔,,send_money,
Send five hundred.,Send 500 to Wasim.,send_money,send_money
Cancel,Cancel,unknown,unknown
Hello,Hello,unknown,unknown
Hello,Hello,unknown,unknown
یو بیل,UBL,unknown,unknown
Can you please open the history of my credits and debits?,Can you please open the history of my credits and debits?,download_statement,download_statement
Can you please open the history?,Can you please open the history?,unknown,download_statement
جیز پیکج,جاز پیکج,unknown,topup
پے ٹین روپیز تو شہزیب,Pay ten rupees to Shahzaib.,send_money,send_money
احمد کو,احمد کو,unknown,send_money
فراموشمان علی,From Usman Ali.,unknown,unknown
شو بیلنس,Show balance.,mobile_topup,unknown
سینٹمنٹ تو عثمان علی,Send payment to Usman Ali.,unknown,send_money
بسم اللہ الرحمن الرحیم,۔,unknown,unknown
Manage payment.,Manage payment.,pay_bill,unknown
اکرار شہید کو سکس تھاؤزنڈ سینڈ کر دو,اقرار شہید کو 6000 سینڈ کر دو.,send_money,send_money
I want to pay Pakistan Telecom Authority tax.,I want to pay Pakistan Telecom Authority tax.,pay_bill,pay_bill
I want to pay Pakistan Telecom Association tax.,I want to pay Pakistan Telecom Association tax.,pay_bill,pay_bill
I want to pay PTA tax.,I want to pay PTA tax.,pay_bill,unknown
جاز کیش,JazzCash,unknown,unknown
جیز کیش,جاز کیش,unknown,unknown
پہلے آنا پہلے آنا,جاز کیش.,unknown,unknown
میرے اکاؤنٹ میں بیلنس کتنا ہے؟,میرے اکاؤنٹ میں بیلنس کتنا ہے?,unknown,unknown
میرے اکاؤنٹ میں بیلنس کتنا ہے؟,میرے اکاؤنٹ میں بیلنس کتنا ہے؟,unknown,unknown
رضا موبائل,رضا موبائل.,unknown,topup
نصیم مختار اکاؤنٹ,نصیم مختار اکاؤنٹ.,unknown,unknown
Send Izzah Zainab 603 rupees.,Send Iza Zainab 603 rupees.,send_money,send_money
Transfer funds to Fahad Mohsin.,Transfer funds to Fahad Mohsin.,send_money,send_money
فنڈ ٹرانسفر,Fund transfer.,unknown,send_money
Please send payment.,Please send payment.,pay_bill,send_money
پیمینٹ سینڈ کرنی ہے۔,پیمنٹ سینڈ کرنی ہے.,unknown,send_money
محمد بوٹا,محمد بوٹا.,unknown,unknown
Send money Muhammad Bhutta.,Send money Muhammad Bhutta.,unknown,send_money
Send 500 rupees to Noel Sada.,Send 500 rupees to Noel Sada Pay.,send_money,send_money
Show me all of my beneficiaries.,Show me all of my beneficiaries.,unknown,unknown
"Hi, so show me all my beneficiaries.","Hi, so show me all my beneficiaries.",download_statement,unknown
ایسن علی جی توں ایک کو دو لاکھ تیس ہزار پے سینڈ کر دے.,حسن علی کو دو لاکھ تیس ہزار روپے سینڈ کر دیں۔,send_money,send_money
Send sixty rupees to Malik Haider EasyPaisa.,Send 60 rupees to Malik Haider EasyPaisa.,send_money,send_money
Two hundred thousand transfer to Crystal Paints.,Two hundred thousand transfer to Crystal Paints.,send_money,send_money
بل دیکھ کے بتاؤ,بل دیکھ کے بتاؤ.,pay_bill,download_statement
Send 220 rupees to Muhammad Huzaifa.,Send 220 rupees to Muhammad Huzaifa.,send_money,send_money
بل چیک کرو,بل چیک کرو.,pay_bill,pay_bill
پیسے ٹرانسفر کرو,پیسے ٹرانسفر کرو۔,unknown,send_money
Check my bill.,Check my bills.,pay_bill,pay_bill
پتہ دو بار,پانچ لاکھ روپے دوبارہ.,unknown,unknown
Transfer funds.,Transfer funds.,send_money,send_money
Hello,Hello,unknown,unknown
Send one rupees to Gulzar Ahmed.,Send 1 rupees to Gulzar Ahmed.,send_money,send_money
سفیران نظر کو چالیس ہزار پیچھو,سفیان نظر کو چالیس ہزار بھیجو.,send_money,send_money
Send forty thousand to Wazir Kamar Abbas.,"Send 40,000 to Wazir Qamar Abbas.",send_money,send_money
Show my dashboard.,Show my dashboard.,unknown,unknown
اوپن وجاہت ٹریڈرز,Open Wajahat Traders.,unknown,unknown
اوپن وجار ٹریڈرز,Open Wajahat Traders.,unknown,unknown
السلام علیکم، I want to transfer 8000 rupees to Mr. Noman Mehmood.,"Hello, I want to transfer 8000 rupees to Mr. Noman Mehmood.",send_money,send_money
"If there is no speech in the audio, return empty text.",Please send five thousand rupees to Ali.,mobile_topup,send_money
"If there is no speech in the audio, return empty text.",پانچ سو روپے,mobile_topup,unknown
اس طرح سے بولے,مجھے پیسے بولے,unknown,unknown
"If there is no speech in the audio, return empty text.",Aliya.,mobile_topup,unknown
پیسے بھیجنے۔,دو ہزار روپے,send_money,unknown
پانی ڈالنا ہے,میں پانی ڈالنے.,unknown,pay_bill
مجھے سمجھ نہیں آئی اس کمانڈ کی یہ کیا چیز ہے۔,مجھے سمجھ نہیں آئی اس کمانڈ کی یہ کیا چیز ہے۔,unknown,unknown
Can you dial the call center?,Can you dial the call center?,unknown,unknown
Show me my QR.,Show me my QR.,unknown,unknown
"Statement, account statement.",Statement account statement.,download_statement,download_statement
اجمل رضا جیس کیش اکاؤنٹ,اجمل رضا جاز کیش اکاؤنٹ,download_statement,unknown
اجمل رضا جائیدسکاؤنٹ,Ajmal Raza JazzCash account.,unknown,send_money
Please send thirty thousand to Khalid Mehmood son of Abdul Razzaq.,Please send 30000 to Khalid Mehmood son of Abdul Razzaq.,send_money,send_money
بہت شکریہ,about the insurance,unknown,unknown
What about the insurance?,What about the insurance?,unknown,unknown
Open the my current balance.,Open my current balance.,unknown,unknown
سبحانی,سبحانی,unknown,unknown
شو بیلنس,Show balance.,mobile_topup,unknown
Show my bank balance.,Show my bank balance.,mobile_topup,unknown
Hello.,Hello,unknown,unknown
"Hello, open account statement.",Hello open account statement,download_statement,download_statement
آمنہ وارث,آمنہ وارث,unknown,unknown
Pay 500 rupees for Ahmad Aslam.,Pay 500 rupees for Ahmad Aslam.,send_money,send_money
پے فائیو ہنڈرڈ روپیز احمد اسلم,Pay 500 rupees Ahmad Aslam.,send_money,send_money
"If there is no speech in the audio, return empty text.",Ali.,mobile_topup,unknown
"If there is no speech in the audio, return empty text.",Please transfer 5000 rupees to Ali's account.,mobile_topup,send_money
پے ٹو حمزہ 500 روپیز.,Pay to Hamza 500 rupees.,send_money,send_money
Send one thousand only.,Send 1000 only.,unknown,send_money
اکاؤنٹ نمبر,اکاؤنٹ نمبر.,unknown,unknown
is open,"Yes, open.",unknown,unknown
عائشہ، یوسف، اور وائس اسسٹنٹ is new and still learning.,عائشہ یوسف.,pay_bill,unknown
"Hey, how are you?",Hey how are you?,unknown,unknown
Check my balance please.,Check my balance please.,unknown,unknown
Can you tell me what's my balance?,Can you tell me what's my balance?,unknown,unknown
سینٹ روپے سواد تو محمد حسد خالد,Send rupees one to Muhammad Hassan Khalid.,send_money,send_money
بھائی بیلنس,My balance,mobile_topup,unknown
My balance,My balance,unknown,unknown
لاز ڈیبٹ,Last debit.,unknown,download_statement
UBL Funds. What is that?,یو بی ایل فنڈز.,unknown,unknown
HBL funds,HBL UBL funds,unknown,send_money
"If there is no speech in the audio, return empty text.",Please transfer 5000 rupees to Ali's account.,mobile_topup,send_money
money transfers,پانچ ہزار روپے.,unknown,unknown
سینڈ ففٹی تھاؤزنڈ تو محمد ولید۔,"Send 50,000 to Muhammad Waleed.",send_money,send_money
لائبہ بلال کو دو روپے سینڈ کر دو۔,لائبہ بلاول کو دو روپے سینڈ کر دو.,send_money,send_money
کیا حال ہے؟ کیا کیا کام کر سکتے ہو تم؟,کیا حال ہے؟ کیا کام کر سکتے ہو تم؟,unknown,unknown
ہیلو، کیا حال ہے؟,ہلو کیا حال ہے?,unknown,unknown
لیمٹ کیسے بڑھے گی؟,لمٹ کیسے بڑھے گی?,unknown,unknown
لیمٹ کیسے بڑھے گی؟,لمٹ کیسے بڑھے گی؟,unknown,unknown
تھیس روپے داؤدزلا میڈونیشن کو آرڈینیٹ کر دیں۔,تیس روپے داؤد اسلامیڈونیشن کو ڈونیٹ کر دیں۔,send_money,send_money
Thirty rupee donation to Dawat-e-Islami donations.,Send 30 rupee donation to Dawat-e-Islami donations.,unknown,send_money
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
پے ڈونیشن ڈھاوہ دی اسلامیہ ڈونیشنز,Pay donation to Dawat-e-Islami donations.,unknown,pay_bill
اگر آڈیو میں کوئی تقریر نہیں ہے تو خالی متن واپس کریں۔ اہم: آڈیو میں اردو یا انگریزی تقریر ہو سکتی ہے۔ مذکورہ نام عام طور پر پاکستانی نام ہیں۔ آڈیو میں پاکستانی ناموں کو صحیح طریقے سے نقل کریں۔ آڈیو ایک مالیاتی حکم ہے پیسہ بھیجنے/منتقل کرنے کے لیے۔ احکامات میں شامل ہو سکتے ہیں: پیسہ کی منتقلی، بل کی ادائیگی، موبائل ٹاپ اپس، یا بیان کی درخواست۔ نمبر اور مقداریں کسی بھی زبان میں بولی جا سکتی ہیں — ہمیشہ انہیں عددی اعداد میں تبدیل کریں۔ مذکورہ نام عام طور پر پاکستانی نام ہیں۔ فائدہ اٹھانے والے کے نام اور بینک کے نام کو صحیح طریقے سے پکڑنے پر توجہ دیں۔ فلر الفاظ کو نظر انداز کریں۔,,send_money,
کارلون,کار لون,unknown,unknown
I wanna apply for car loan.,I wanna apply for car loan.,mobile_topup,unknown
کارلون,کار لون,unknown,unknown
کلا,کلار.,unknown,unknown
Add a new pay with EasyPaisa account.,Add a new payee with Easypaisa account.,pay_bill,unknown
Hello,Hello,unknown,unknown
had a new pay with easy paisa account,Add a new payee with EasyPaisa account.,pay_bill,unknown
اکاؤنٹ اسٹیٹمنٹ,اکاؤنٹ سٹیٹمنٹ,download_statement,download_statement
Show me my status.,Show me my status.,unknown,unknown
Hello,Hello,unknown,unknown
جفد سلیم,Jaffar Saleem.,unknown,unknown
محمد سلیم,محمد سلیم,unknown,unknown
محمد سلیم,محمد سلیم,unknown,unknown
ساقب,ساقب,unknown,unknown
ناغری مارو۔,نوری ماروف سے.,unknown,unknown
"Hey, you okay?","Hey, you okay? Hello, are you okay?",unknown,unknown
Transfer 3600 to Muhammad Awais Akhtar.,Transfer 3600 to Muhammad Awais Akhtar.,send_money,send_money
ٹرانسفر تھرٹی سکس ہنڈرڈ ٹو محمد اویس اختر,Transfer 3600 to Muhammad Awais Akhtar.,send_money,send_money
Transfer 3600 to Muhammad Abbas Akhtar from my second account.,Transfer 3600 to Muhammad Abbas Akhtar from my second account.,send_money,send_money
چار سو چھتیس سوڑڈ محمد اویس اختر فرام دا اکاؤنٹ اینڈنگ تھری زیرو تھری,Transfer 3600 to Muhammad Awais Akhtar from the account ending 303.,download_statement,send_money
ٹرانسفر ففٹی فائیو ہنڈریڈ ٹو محمد اویس اختر,Transfer 5500 to Muhammad Awais Akhtar.,send_money,send_money
Transfer 5500 to Muhammad Awais.,Transfer 5500 to Muhammad Awais.,send_money,send_money
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
Transfer ten thousand to Hooria Saeed.,Transfer 10000 to Hooria Saeed.,send_money,send_money
Transfer,Transfer,unknown,send_money
کیا حال ہے؟ کوئی ٹھیک۔,کیوں حال کوئی تمام.,unknown,unknown
شو بیلنس,شو بیلنس,mobile_topup,unknown
Fifteen rupees,Fifteen rupees.,unknown,unknown
پچیس ہزار,Forty thousand.,unknown,unknown
"Send money to Salman Akhtar Mohmandipur, 20,000 rupees.",Send money to Salman Akhtar Mohmandipur 20000 rupees.,send_money,send_money
امد منیب,احمد منیب,unknown,unknown
ابن منی۔,احمن منیب,unknown,unknown
انیس,انیس,unknown,unknown
Transfer one thousand to Mushtaba Sheikh.,Transfer 1000 to Mushtaba Shaikh.,send_money,send_money
Transfer one,Transfer 1,unknown,send_money
ٹرانسفر ون تھاؤزن ٹو تاوت خان,Transfer 1000 to Dawood Khan.,send_money,send_money
Transfer one thousand to Muzammil Khan.,Transfer 1000 to Muzammil Khan.,send_money,send_money
How can you help me?,How can you help me?,unknown,unknown
"If there is no speech in the audio, return empty text.",بوریہ,mobile_topup,unknown
یہ میرے پاس مائنس کیوں دکھا رہا ہے پیسے؟,یہ میرے پاس مائنس کیوں دکھا رہا ہے پیسے؟,unknown,unknown
How can you help me?,How can you help me?,unknown,unknown
آپ میں پیسے سینڈ کرکے واپس نکالنے کا کیا مطلب؟,ایپ میں پیسے سینڈ کر کے واپس نکالنے کا کیا مطلب؟,unknown,unknown
ایک سو نبوے کا کیا آ سکتا ہے؟,ایک سو نوے روپے کا کیا آ سکتا ہے؟,unknown,unknown
کسون نمبر پر کیا آ سکتا ہے؟,اس نمبر پر کیا آ سکتا ہے؟,unknown,unknown
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the Pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",Please transfer 5000 rupees to Ali's account.,pay_bill,send_money
اس پیسوں کا کیا کر سکتے ہیں ہم؟,اسپیسوں کے کیا کر سکتے ہیں ہم?,unknown,unknown
"If there is no speech in the audio, return empty text. CRITICAL: The audio may contain URDU or ENGLISH speech. Mentioned names are typically Pakistani names.Transcribe the pakistani names in the audio correctly.The audio is a financial command for sending/transferring money. Commands may include: money transfers, bill payments, mobile top-ups, or statement requests. Numbers and amounts may be spoken in either language — always convert them into numeric digits. Mentioned names are typically Pakistani names.Focus on capturing beneficiary names, and bank names correctly. Ignore filler words.",حسنین کو پانچ ہزار روپے بھیجیں۔,pay_bill,send_money
"Payment transfer to Shahzaib Mumtaz 40,000 rupees.","Payment transfer to Shahzeb Mumtaz 40,000 rupees.",send_money,send_money
پیمینٹ ٹرانسفرڈ ٹو شاہ زیب ممتاز,Payment transfer to Shahzaib Mumtaz.,send_money,send_money
I want to transfer money.,"Hey, I want to transfer money.",send_money,send_money
سینڈ منی ٹو ایزی پیسہ 0316-5759446,Send money to EasyPaisa 0316 5794446,send_money,send_money
